"2013-14","Bangalore Rural","Hoskote","Kalkunte","200","G.H.P.S.Maranagere","Kannada","83.33","100","7","6","0","5","0","1","0","5","1","0"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","199","G.H.P.S.Gundur","Kannada","75","100","7","8","5","0","1","2","4","4","0","0"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","198","G.H.P.S.Narayanakere","Kannada","100","90.91","7","11","1","5","5","0","3","6","1","1"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","197","G.H.P.S.Turuvaranga","Kannada","90","90","7","10","1","5","3","1","0","8","1","1"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","196","G.H.P.S.Bhgur","Kannada","100","83.33","7","6","6","0","0","0","1","4","0","1"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","195","G.H.P.S.Kalkunte","Kannada","100","100","7","17","11","5","1","0","1","13","3","0"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","464","G.H.P.S.Hindiganahalli","Kannada","75","91.67","7","12","0","3","6","3","1","8","2","1"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","463","G.H.P.S.Anuppalli","Kannada","80","80","7","10","0","4","4","2","2","3","3","2"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","462","G.H.P.S.E Hosahalli","Kannada","80","100","7","5","0","1","3","1","3","1","1","0"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","461","G.H.P.S.Ettasandra","Kannada","100","87.5","7","8","0","6","2","0","1","6","0","1"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","460","G.H.P.S.Dharmeshwara","Kannada","50","75","7","8","0","4","0","4","2","2","2","2"
"2013-14","Bangalore Rural","Hoskote","Nandagudi","459","G.H.P.S.Nandagudi","Kannada","53.06","87.76","7","49","0","11","15","23","6","25","12","6"
"2013-14","Bangalore Rural","Hoskote","Nelavagilu","458","G.H.P.S.Karahalli","Kannada","85.71","100","7","7","6","0","0","1","1","5","1","0"
"2013-14","Bangalore Rural","Hoskote","Nelavagilu","457","G.H.P.S.Hedakanahalli","Kannada","71.43","64.29","7","14","0","5","5","4","5","2","2","5"
"2013-14","Bangalore Rural","Hoskote","Nelavagilu","456","G.H.P.S.Korate","Kannada","93.75","81.25","7","16","0","7","8","1","4","1","8","3"
"2013-14","Bangalore Rural","Hoskote","Nelavagilu","455","G.H.P.S.Siddanahalli","Kannada","100","100","7","5","3","2","0","0","3","2","0","0"
"2013-14","Bangalore Rural","Hoskote","Nelavagilu","454","G.H.P.S.Chikkondahalli","Kannada","100","100","7","8","1","7","0","0","5","3","0","0"
